project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,333,343,1,T3,1,T3:158,10,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,347,359,1,T3,1,T3:158,10,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java,53,63,1,T3,1,T3:161,7,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java
junit5,test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java,66,77,1,T3,1,T3:161,7,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java
junit5,test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java,80,88,1,T3,1,T3:152,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java
junit5,test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java,97,108,1,T3,1,T3:162,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java
junit5,test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java,145,157,1,T3,2,T2:83;T3:162,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java
junit5,test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java,160,172,1,T3,2,T2:83;T3:162,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/FlatPrintingListenerTests.java
junit5,test/java/org/junit/platform/console/tasks/TreeNodeTests.java,45,55,1,T3,1,T3:153,9,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/TreeNodeTests.java
junit5,test/java/org/junit/platform/console/tasks/TreeNodeTests.java,58,68,1,T3,1,T3:153,9,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/TreeNodeTests.java
junit5,test/java/org/junit/platform/console/tasks/TreeNodeTests.java,90,97,1,T3,1,T3:94,7,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/TreeNodeTests.java
junit5,test/java/org/junit/platform/console/tasks/VerboseTreePrintingListenerTests.java,53,59,1,T3,1,T3:151,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/VerboseTreePrintingListenerTests.java
junit5,test/java/org/junit/platform/console/tasks/VerboseTreePrintingListenerTests.java,62,71,1,T3,1,T3:151,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/VerboseTreePrintingListenerTests.java
junit5,test/java/org/junit/platform/console/tasks/VerboseTreePrintingListenerTests.java,74,83,1,T3,2,T2:79;T3:152,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/VerboseTreePrintingListenerTests.java
junit5,test/java/org/junit/platform/console/tasks/VerboseTreePrintingListenerTests.java,86,95,1,T3,2,T2:79;T3:152,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/VerboseTreePrintingListenerTests.java
junit5,test/java/org/junit/platform/engine/UniqueIdFormatTests.java,41,45,1,T3,1,T3:175,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/UniqueIdFormatTests.java
junit5,test/java/org/junit/platform/engine/UniqueIdFormatTests.java,48,52,1,T3,1,T3:175,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/UniqueIdFormatTests.java
junit5,test/java/org/junit/platform/engine/UniqueIdTests.java,45,50,1,T3,1,T3:175,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/UniqueIdTests.java
junit5,test/java/org/junit/platform/engine/UniqueIdTests.java,69,74,1,T3,1,T3:175,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/UniqueIdTests.java
junit5,test/java/org/junit/platform/engine/UniqueIdTests.java,182,189,1,T3,1,T3:176,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/UniqueIdTests.java
junit5,test/java/org/junit/platform/engine/UniqueIdTests.java,192,198,1,T3,1,T3:176,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/UniqueIdTests.java
junit5,test/java/org/junit/platform/engine/UniqueIdTests.java,201,208,1,T3,1,T3:177,7,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/UniqueIdTests.java
junit5,test/java/org/junit/platform/engine/UniqueIdTests.java,211,217,1,T3,1,T3:177,7,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/UniqueIdTests.java
junit5,test/java/org/junit/platform/engine/UniqueIdTests.java,220,226,1,T3,1,T3:176,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/UniqueIdTests.java
junit5,test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java,27,37,1,T3,2,T2:88;T3:169,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java
junit5,test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java,40,58,1,T3,2,T2:89;T3:170,11,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java
junit5,test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java,61,86,1,T3,2,T2:90;T3:171,17,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java
junit5,test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java,89,99,1,T3,2,T2:88;T3:169,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java
junit5,test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java,102,121,1,T3,2,T2:89;T3:170,11,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java
junit5,test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java,124,149,1,T3,2,T2:90;T3:171,17,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ClassNameFilterTests.java
junit5,test/java/org/junit/platform/engine/discovery/ClassSelectorTests.java,38,45,1,T3,1,T3:168,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ClassSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/ClasspathResourceSelectorTests.java,26,32,1,T3,2,T2:86;T3:166,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ClasspathResourceSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/ClasspathResourceSelectorTests.java,35,41,1,T3,2,T2:87;T3:167,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ClasspathResourceSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/ClasspathRootSelectorTests.java,28,34,1,T3,2,T2:85;T3:165,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ClasspathRootSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/DirectorySelectorTests.java,26,32,1,T3,2,T2:84;T3:164,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/DirectorySelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/FilePositionTests.java,45,50,1,T3,3,T1:11;T2:94;T3:172,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/FilePositionTests.java
junit5,test/java/org/junit/platform/engine/discovery/FilePositionTests.java,54,59,1,T3,3,T1:12;T2:95;T3:150,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/FilePositionTests.java
junit5,test/java/org/junit/platform/engine/discovery/FilePositionTests.java,66,79,1,T3,3,T1:13;T2:96;T3:173,12,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/FilePositionTests.java
junit5,test/java/org/junit/platform/engine/discovery/FilePositionTests.java,100,106,1,T3,3,T1:14;T2:97;T3:174,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/FilePositionTests.java
junit5,test/java/org/junit/platform/engine/discovery/FilePositionTests.java,110,116,1,T3,3,T1:15;T2:97;T3:174,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/FilePositionTests.java
junit5,test/java/org/junit/platform/engine/discovery/FileSelectorTests.java,26,32,1,T3,2,T2:86;T3:166,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/FileSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/FileSelectorTests.java,35,41,1,T3,2,T2:87;T3:167,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/FileSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/ModuleSelectorTests.java,26,32,1,T3,2,T2:84;T3:164,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/ModuleSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/NestedClassSelectorTests.java,42,50,1,T3,2,T2:93;T3:168,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/NestedClassSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/NestedClassSelectorTests.java,53,61,1,T3,2,T2:93;T3:168,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/NestedClassSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/NestedMethodSelectorTests.java,56,64,1,T3,2,T2:91;T3:168,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/NestedMethodSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/NestedMethodSelectorTests.java,67,75,1,T3,2,T2:91;T3:168,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/NestedMethodSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/PackageNameFilterTests.java,27,37,1,T3,2,T2:88;T3:169,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/PackageNameFilterTests.java
junit5,test/java/org/junit/platform/engine/discovery/PackageNameFilterTests.java,40,75,1,T3,2,T2:92;T3:171,21,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/PackageNameFilterTests.java
junit5,test/java/org/junit/platform/engine/discovery/PackageNameFilterTests.java,78,88,1,T3,2,T2:88;T3:169,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/PackageNameFilterTests.java
junit5,test/java/org/junit/platform/engine/discovery/PackageNameFilterTests.java,91,126,1,T3,2,T2:92;T3:171,21,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/PackageNameFilterTests.java
junit5,test/java/org/junit/platform/engine/discovery/PackageSelectorTests.java,26,32,1,T3,2,T2:84;T3:164,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/PackageSelectorTests.java
junit5,test/java/org/junit/platform/engine/discovery/UriSelectorTests.java,28,34,1,T3,2,T2:85;T3:165,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/discovery/UriSelectorTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/AbstractTestDescriptorTests.java,104,109,1,T3,1,T3:199,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/AbstractTestDescriptorTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/AbstractTestDescriptorTests.java,112,125,1,T3,1,T3:200,12,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/AbstractTestDescriptorTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/AbstractTestDescriptorTests.java,128,144,1,T3,1,T3:200,12,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/AbstractTestDescriptorTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,68,76,1,T3,1,T3:202,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,79,85,1,T3,1,T3:201,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,88,96,1,T3,1,T3:202,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,99,104,1,T3,2,T2:109;T3:204,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,107,113,1,T3,1,T3:205,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,116,122,1,T3,1,T3:205,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,125,130,1,T3,2,T2:109;T3:204,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,133,138,1,T3,2,T2:109;T3:204,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,141,146,1,T3,1,T3:195,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,149,159,1,T3,1,T3:206,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,162,167,1,T3,1,T3:207,5,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
junit5,test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java,170,180,1,T3,1,T3:206,8,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/ClassSourceTests.java
