project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
selenium-trunk,DragAndDropTest.java,111,124,1,T3,1,T3:372,9,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DragAndDropTest.java
selenium-trunk,DragAndDropTest.java,127,133,1,T3,3,T1:49;T2:278;T3:373,7,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DragAndDropTest.java
selenium-trunk,DragAndDropTest.java,139,156,1,T3,1,T3:374,11,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DragAndDropTest.java
selenium-trunk,DragAndDropTest.java,163,174,1,T3,3,T1:50;T2:279;T3:375,10,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DragAndDropTest.java
selenium-trunk,DragAndDropTest.java,182,209,1,T3,1,T3:376,16,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DragAndDropTest.java
selenium-trunk,DragAndDropTest.java,216,232,1,T3,1,T3:377,11,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DragAndDropTest.java
selenium-trunk,SetFilesCommandTest.java,49,67,1,T3,1,T3:191,10,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/SetFilesCommandTest.java
selenium-trunk,SetFilesCommandTest.java,71,85,1,T3,1,T3:191,10,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/SetFilesCommandTest.java
selenium-trunk,SetFilesCommandTest.java,89,104,1,T3,1,T3:191,10,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/SetFilesCommandTest.java
selenium-trunk,SetFilesCommandTest.java,108,120,1,T3,1,T3:191,10,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/SetFilesCommandTest.java
selenium-trunk,LogInspectorTest.java,46,66,1,T3,1,T3:331,15,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/log/LogInspectorTest.java
selenium-trunk,LogInspectorTest.java,106,126,1,T3,1,T3:331,15,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/log/LogInspectorTest.java
selenium-trunk,LogInspectorTest.java,130,158,1,T3,1,T3:557,22,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/log/LogInspectorTest.java
selenium-trunk,LogInspectorTest.java,162,178,1,T3,1,T3:331,15,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/log/LogInspectorTest.java
selenium-trunk,LogInspectorTest.java,182,197,1,T3,1,T3:331,15,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/log/LogInspectorTest.java
selenium-trunk,LogInspectorTest.java,201,226,1,T3,1,T3:557,22,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/log/LogInspectorTest.java
selenium-trunk,LogInspectorTest.java,231,251,1,T3,1,T3:331,15,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/log/LogInspectorTest.java
